Country,CountryCode,Year,GDP,CPI,Import,Export
Albania,ALB,2005,8052.079314,,1043.3,1006.83
Albania,ALB,2006,8896.076004,,1180.95,1242.95
Albania,ALB,2007,10677.32222,,1424.12,1529.9
Albania,ALB,2008,12881.35206,3.32,1891.53,2264.49
Albania,ALB,2009,12044.21039,2.27,1706.99,2015.41
Albania,ALB,2010,11926.94828,3.63,1383.48,1826.83
Albania,ALB,2011,12890.87332,3.43,1604.19,2034.56
Albania,ALB,2012,12319.7796,2.03,1524.58,1708.83
Albania,ALB,2013,12776.28074,1.94,1537.18,1784.8
Albania,ALB,2014,13228.24008,1.63,1695.98,1927.69
Albania,ALB,2015,11386.92485,1.9,1429.79,1653.6
Albania,ALB,2016,11861.35645,1.28,1461.61,1890.56
Albania,ALB,2017,13019.72986,1.99,1832.17,2430.16
Albania,ALB,2018,15156.43997,2.03,1977.71,2543.93
Albania,ALB,2019,15401.82608,1.41,1939.91,2862.98
Albania,ALB,2020,15162.73447,1.62,1209.39,2040.34
Albania,ALB,2021,17930.56704,2.04,1868.65,3148.98
Austria,AUT,2005,315966.5597,2.3,24430.08,33956.49
Austria,AUT,2006,335981.3458,1.44,27593.36,37061.06
Austria,AUT,2007,388671.4958,2.17,32084,43925.98
Austria,AUT,2008,430310.2271,3.22,35357.14,50236.43
Austria,AUT,2009,400148.1935,0.51,30577.09,43341.16
Austria,AUT,2010,391892.7465,1.81,31186.29,42841.23
Austria,AUT,2011,431120.3101,3.29,36078.22,47683.52
Austria,AUT,2012,409425.2342,2.49,35831.2,46644.49
Austria,AUT,2013,430068.713,2,39952.23,52230.25
Austria,AUT,2014,441996.1317,1.61,43605.6,55082.09
Austria,AUT,2015,381817.5659,0.9,37861.39,47046.8
Austria,AUT,2016,395568.6443,0.89,39654.21,49014.5
Austria,AUT,2017,417261.1518,2.08,43995.57,53522.89
Austria,AUT,2018,454991.1741,2,49724.97,58479.26
Austria,AUT,2019,444596.1558,1.53,51270.43,58975.14
Austria,AUT,2020,435049.317,1.38,42768.67,49352.12
Austria,AUT,2021,479295.3627,2.77,51010.7,52445.8
Belarus,BLR,2005,31231.98363,,1536.24,1783.15
Belarus,BLR,2006,38212.09224,7,1890.14,2054.79
Belarus,BLR,2007,46807.24374,8.43,2393.8,2598.58
Belarus,BLR,2008,62807.17804,14.84,3058.8,3405.37
Belarus,BLR,2009,50873.18157,12.95,2521.78,2714.71
Belarus,BLR,2010,57231.90454,7.74,2799.4,3142.7
Belarus,BLR,2011,61762.34094,53.23,3217.56,3795.86
Belarus,BLR,2012,65685.90357,59.22,3644.31,4275.9
Belarus,BLR,2013,75527.5377,18.31,4786.27,5011.2
Belarus,BLR,2014,78813.04985,18.12,4954.3,5333.36
Belarus,BLR,2015,56454.77575,13.53,3821.59,4247.74
Belarus,BLR,2016,47723.54932,11.84,3611.18,4153.51
Belarus,BLR,2017,54725.41519,6.03,4108.3,4922.75
Belarus,BLR,2018,60031.01676,4.87,4919.69,5562.1
Belarus,BLR,2019,64410.16039,5.6,4639.61,5456.07
Belarus,BLR,2020,61371.67334,5.55,3638.03,4621.61
Belarus,BLR,2021,69673.76565,9.46,4177.71,5563.24
Belgium,BEL,2005,385561.359,2.78,45210.47,39437.02
Belgium,BEL,2006,407897.1825,1.79,48801.91,42820.52
Belgium,BEL,2007,470300.1146,1.82,60642.31,52601.07
Belgium,BEL,2008,515242.61,4.49,68932.82,63059.17
Belgium,BEL,2009,481316.9355,-0.05,63291.21,56978.17
Belgium,BEL,2010,480951.6295,2.19,66938.71,60090.72
Belgium,BEL,2011,522645.5192,3.53,73705.75,64898.7
