Country,CountryCode,Row,Column,TargetCountry,TargetCountryCode,Year,ImportExport,Import,Export,PrecedingImport,PrecedingExport,TradeBalance,GDP,TradeBalancePercentage
Italy,ITA,0,0,Iceland,ISL,2005,40.78,23.09,17.69,,,5.4,1857478,0.0002907167676
Italy,ITA,0,0,Iceland,ISL,2006,43.25,24.85,18.4,23.09,17.69,6.45,1947820,0.0003311394277
Italy,ITA,0,0,Iceland,ISL,2007,53.94,31.6,22.34,24.85,18.4,9.26,2210179,0.0004189705902
Italy,ITA,0,0,Iceland,ISL,2008,60.41,37.12,23.29,31.6,22.34,13.83,2398945,0.0005765034213
Italy,ITA,0,0,Iceland,ISL,2009,52.83,34.94,17.89,37.12,23.29,17.05,2191110,0.0007781444108
Italy,ITA,0,0,Iceland,ISL,2010,48.04,28.61,19.43,34.94,17.89,9.18,2134018,0.0004301744409
Italy,ITA,0,0,Iceland,ISL,2011,42.03,25.37,16.66,28.61,19.43,8.71,2291991,0.0003800189442
Italy,ITA,0,0,Iceland,ISL,2012,55.66,40.18,15.48,25.37,16.66,24.7,2087077,0.001183473346
Italy,ITA,0,0,Iceland,ISL,2013,57.97,36.07,21.9,40.18,15.48,14.17,2141315,0.000661742901
Italy,ITA,0,0,Iceland,ISL,2014,66.98,41.75,25.23,36.07,21.9,16.52,2159134,0.0007651215719
Italy,ITA,0,0,Iceland,ISL,2015,71.19,53.24,17.95,41.75,25.23,35.29,1835899,0.001922219033
Italy,ITA,0,0,Iceland,ISL,2016,75.46,49.81,25.65,53.24,17.95,24.16,1875797,0.001287985853
Italy,ITA,0,0,Iceland,ISL,2017,86.04,54.47,31.57,49.81,25.65,22.9,1961796,0.001167297721
Italy,ITA,0,0,Iceland,ISL,2018,105.83,52.77,53.06,54.47,31.57,-0.29,2091932,-0.0000138627833
Italy,ITA,0,0,Iceland,ISL,2019,116.56,70.36,46.2,52.77,53.06,24.16,2011302,0.001201211951
Italy,ITA,0,0,Iceland,ISL,2020,39.19,20.73,18.46,70.36,46.2,2.27,1897462,0.0001196334894
Italy,ITA,0,0,Iceland,ISL,2021,78.1,45.52,32.58,20.73,18.46,12.94,2155360,0.0006003637443
Italy,ITA,1,3,Norway,NOR,2005,1250.47,591.63,658.84,,,-67.21,1857478,-0.003618347028
Italy,ITA,1,3,Norway,NOR,2006,1397.63,662.51,735.12,591.63,658.84,-72.61,1947820,-0.003727757185
Italy,ITA,1,3,Norway,NOR,2007,1663.94,769.71,894.23,662.51,735.12,-124.52,2210179,-0.005633932817
