Country,CountryCode,Year,EventType,EventTitle,ShortDescription,Description
Albania,ALB,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Austria,AUT,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Belarus,BLR,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Belgium,BEL,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Bosnia,BIH,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Bulgaria,BGR,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Croatia,HRV,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Czech,CZE,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Denmark,DNK,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Estonia,EST,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Finland,FIN,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
France,FRA,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Germany,DEU,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Greece,GRC,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Hungary,HUN,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Iceland,ISL,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Ireland,IRL,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Italy,ITA,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Kosovo,XKX,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Latvia,LVA,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Lithuania,LTU,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Luxembourg,LUX,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Macedonia,MKD,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Malta,MLT,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Moldova,MDA,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Montenegro,MNE,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Netherlands,NLD,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Norway,NOR,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Poland,POL,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
Portugal,PRT,2020,All,COVID-19,COVID-19 pandemic,"COVID-19 declared a pandemic by WHO on March 11, 2020."
